Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.82     19.52    19.52       93     0.21     0.21  __modsubgrid_MOD_sources
  8.63     35.09    15.57      186     0.08     0.08  __modsubgrid_MOD_diffc
  8.59     50.60    15.51      279     0.06     0.06  __advec_2nd_MOD_advecc_2nd
  7.57     64.27    13.67       93     0.15     0.15  __modsubgrid_MOD_diffw
  7.06     77.02    12.75       93     0.14     0.14  __modsubgrid_MOD_diffv
  6.97     89.60    12.58       93     0.14     0.14  __modsubgrid_MOD_diffu
  4.61     97.92     8.32       25     0.33     0.33  __modsampling_MOD_dosampling
  4.48    106.00     8.08       93     0.09     0.09  __modsubgrid_MOD_diffe
  4.05    113.31     7.31       93     0.08     0.08  __advec_2nd_MOD_advecw_2nd
  3.92    120.38     7.07       93     0.08     0.08  __advec_2nd_MOD_advecv_2nd
  3.75    127.14     6.76       93     0.07     0.07  __advec_2nd_MOD_advecu_2nd
  2.91    132.40     5.26       93     0.06     0.06  __modforces_MOD_coriolis
  2.35    136.65     4.25       93     0.05     0.05  __modforces_MOD_lstend
  1.99    140.25     3.60       93     0.04     0.04  __modpois_MOD_fillps
  1.98    143.82     3.57       95     0.04     0.04  __modthermodynamics_MOD_icethermo0
  1.97    147.38     3.56       93     0.04     0.04  __modsubgrid_MOD_closure
  1.86    150.74     3.36       95     0.04     0.04  __modthermodynamics_MOD_calthv
  1.53    153.50     2.76  5713920     0.00     0.00  radf4_
  1.49    156.19     2.69  5713920     0.00     0.00  radb4_
  1.43    158.77     2.58        5     0.52     0.52  __modbudget_MOD_do_genbudget
  1.41    161.31     2.54       93     0.03     0.03  __modpois_MOD_tderive
  1.25    163.57     2.26       93     0.02     0.02  __modpois_MOD_solmpj
  1.20    165.73     2.16       95     0.02     0.02  __modthermodynamics_MOD_icethermoh
  0.94    167.42     1.69       93     0.02     0.02  __modforces_MOD_forces
  0.93    169.10     1.68       95     0.02     0.02  __modthermodynamics_MOD_calc_halflev
  0.89    170.70     1.60        5     0.32     0.33  __modgenstat_MOD_do_genstat
  0.74    172.04     1.34      186     0.01     0.01  __modfft2d_MOD_transpose_b
  0.66    173.23     1.19      186     0.01     0.01  __modfft2d_MOD_transpose_binv
  0.59    174.29     1.06  1904640     0.00     0.00  radb2_
  0.58    175.34     1.05       93     0.01     0.01  __tstep_MOD_tstep_integrate
  0.50    176.24     0.90  1904640     0.00     0.00  radf2_
  0.42    177.00     0.76       31     0.02     0.02  __modchecksim_MOD_chkdiv
  0.42    177.75     0.75      775     0.00     0.00  __modmpi_MOD_slabsum_real64
  0.33    178.35     0.60       93     0.01     0.01  __tstep_MOD_tstep_update
  0.14    178.61     0.26     1129     0.00     0.00  __modmpi_MOD_excjs_real64
  0.12    178.83     0.22       95     0.00     0.12  __modthermodynamics_MOD_thermodynamics
  0.12    179.05     0.22       93     0.00     0.00  __modboundary_MOD_grwdamp
  0.11    179.24     0.19       93     0.00     0.00  __modradiation_MOD_radiation
  0.10    179.42     0.18       93     0.00     0.00  __modtimestat_MOD_timestat
  0.08    179.56     0.14       93     0.00     0.06  __modfft2d_MOD_fft2df
  0.07    179.68     0.12       31     0.00     0.00  __modchecksim_MOD_calccourant
  0.06    179.78     0.10  1904640     0.00     0.00  rfftb1_
  0.04    179.86     0.08  1904640     0.00     0.00  rfftf1_
