Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 11.00      5.83     5.83      111     0.05     0.05  __modsubgrid_MOD_sources
  8.72     10.45     4.62      333     0.01     0.01  __advec_2nd_MOD_advecc_2nd
  8.70     15.06     4.61      222     0.02     0.02  __modsubgrid_MOD_diffc
  7.66     19.12     4.06      111     0.04     0.04  __modsubgrid_MOD_diffw
  7.27     22.97     3.85      111     0.03     0.03  __modsubgrid_MOD_diffv
  7.04     26.70     3.73      111     0.03     0.03  __modsubgrid_MOD_diffu
  4.60     29.14     2.44      111     0.02     0.02  __modsubgrid_MOD_diffe
  4.15     31.34     2.20      111     0.02     0.02  __advec_2nd_MOD_advecw_2nd
  4.11     33.52     2.18      111     0.02     0.02  __advec_2nd_MOD_advecv_2nd
  3.91     35.59     2.07       25     0.08     0.08  __modsampling_MOD_dosampling
  3.76     37.58     1.99      111     0.02     0.02  __advec_2nd_MOD_advecu_2nd
  3.04     39.19     1.61      111     0.01     0.01  __modforces_MOD_coriolis
  2.42     40.47     1.28      111     0.01     0.01  __modforces_MOD_lstend
  2.15     41.61     1.14      111     0.01     0.01  __modsubgrid_MOD_closure
  1.98     42.66     1.05      111     0.01     0.01  __modpois_MOD_fillps
  1.96     43.70     1.04      113     0.01     0.01  __modthermodynamics_MOD_icethermo0
  1.83     44.67     0.97      113     0.01     0.01  __modthermodynamics_MOD_calthv
  1.62     45.53     0.86  3409920     0.00     0.00  radb4_
  1.60     46.38     0.85  3409920     0.00     0.00  radf4_
  1.45     47.15     0.77      111     0.01     0.01  __modpois_MOD_tderive
  1.42     47.90     0.75      111     0.01     0.01  __modpois_MOD_solmpj
  1.23     48.55     0.65        5     0.13     0.13  __modbudget_MOD_do_genbudget
  1.19     49.18     0.63      113     0.01     0.01  __modthermodynamics_MOD_icethermoh
  0.96     49.69     0.51      111     0.00     0.00  __modforces_MOD_forces
  0.91     50.17     0.48      113     0.00     0.00  __modthermodynamics_MOD_calc_halflev
  0.74     50.56     0.39        5     0.08     0.08  __modgenstat_MOD_do_genstat
  0.70     50.93     0.37      222     0.00     0.00  __modfft2d_MOD_transpose_b
  0.59     51.24     0.31      111     0.00     0.00  __tstep_MOD_tstep_integrate
